nom_cle_comparaison,nom_normalise_2019,nom_affiche_2019,provinces_2019,listes_2019,rangs_2019,n_apparitions_2019,nom_normalise_2026,nom_affiche_2026,provinces_2026,listes_2026,rangs_2026,n_apparitions_2026,statut_exact
KOTRA LOUIS UREGEI,KOTRA LOUIS UREGEI,Kotra Louis UREGEI,Province des Iles,Province des Iles - 03 - PARTI TRAVAILLISTE,Province des Iles:01,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KOUATHE ROBERT,ROBERT KOUATHE,Robert KOUATHE,Province Sud,Province Sud - 05 - CALEDONIE NOUVELLE ET REUNIE,Province Sud:47,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KOUATHE YOAN,YOAN KOUATHE,Yoan KOUATHE,Province Sud,Province Sud - 01 - MOUVEMENT NEO-INDEPENDANTISTE ET SOUVERAINISTE SUD (MNIS SUD),Province Sud:25,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KURTOVITCH LINDA,LINDA KURTOVITCH,Linda KURTOVITCH,Province Sud,Province Sud - 09 - CONSTRUIRE AUTREMENT,Province Sud:18,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KURTOVITCH METZDORF YASMINA,YASMINA KURTOVITCH METZDORF,Yasmina KURTOVITCH ép. METZDORF,Province Nord,"Province Nord - 03 - UNE PROVINCE POUR TOUS, CALEDONIENS ENSEMBLE. POUR UN AVENIR DU PAYS DANS LA PAIX AUX COULEURS DE LA FRANCE",Province Nord:04,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
KUSITINO TUFELE,KUSITINO TUFELE,Kusitino TUFELE,Province Sud,Province Sud - 06 - L’EVEIL OCEANIEN,Province Sud:31,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LAGADEC SIO SUTITA,SUTITA SIO LAGADEC,Sutita SIO-LAGADEC,Province Sud,"Province Sud - 11 - CALEDONIENS ENSEMBLE, POUR UN AVENIR DU PAYS DANS LA PAIX, AUX COULEURS DE LA FRANCE",Province Sud:38,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LAGNEAU MARTINE,MARTINE LAGNEAU,Martine LAGNEAU,Province Sud,"Province Sud - 11 - CALEDONIENS ENSEMBLE, POUR UN AVENIR DU PAYS DANS LA PAIX, AUX COULEURS DE LA FRANCE",Province Sud:10,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LAIGLE MONDY,MONDY LAIGLE,Mondy LAIGLE,Province Sud,"Province Sud - 11 - CALEDONIENS ENSEMBLE, POUR UN AVENIR DU PAYS DANS LA PAIX, AUX COULEURS DE LA FRANCE",Province Sud:26,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LAN LORIE MAU YOUK,LORIE MAU YOUK LAN,Lorie MAU YOUK LAN,Province Sud,Province Sud - 09 - CONSTRUIRE AUTREMENT,Province Sud:16,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LARRY MARTIN,LARRY MARTIN,Larry MARTIN,Province Sud,Province Sud - 09 - CONSTRUIRE AUTREMENT,Province Sud:09,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
LAURENT PAITA,LAURENT PAITA,Laurent PAÏTA,Province Sud,Province Sud - 04 - PARTI TRAVAILLISTE ET FORCES PROGRESSISTES POUR L’UNITE ET LE CHANGEMENT,Province Sud:09,1,NA,NA,NA,NA,NA,NA,present_2019_absent_2026_exact
