election,tour,province_code,province,code_departement,code_commune,commune,commune_norm,code_bv,inscrits,votants,abstentions,exprimes,blancs,nuls,bureau_nom,bureau_nom_norm,match_score,etablissement_nom,etablissement_adresse,etablissement_theme1,etablissement_theme2,etablissement_theme3,longitude,latitude,geo_source,iris_id,iris_codgeo,iris_libgeo
provinciales_2019,,PN,Province Nord,988,98804,Canala,CANALA,0003,458,287,171,279,4,4,Nanon-Kénérou,NANON KENEROU,0.95,Nanon-Kénérou,Canala,LIEU_DIT_NC,TRIBU,Nèno - Kénéru,165.88480729759476,-21.546697208816735,tribus_villages_nc,136,401,Canala village
provinciales_2019,,PN,Province Nord,988,98804,Canala,CANALA,0004,778,496,282,478,7,11,Méhoué,MEHOUE,1,Méhoué,Canala,LIEU_DIT_NC,TRIBU,Mèèwéé,165.9494172177474,-21.51958486452521,tribus_villages_nc,136,401,Canala village
provinciales_2019,,PN,Province Nord,988,98804,Canala,CANALA,0005,704,452,252,439,5,8,Gélima,GELIMA,1,Gélima,Canala,LIEU_DIT_NC,TRIBU,Jari Mwâ,165.98151543430086,-21.534392845846163,tribus_villages_nc,137,403,Gélima - Nakéty
provinciales_2019,,PN,Province Nord,988,98804,Canala,CANALA,0006,284,162,122,138,7,17,Mérénémé,MERENEME,1,Mérénémé,Canala,LIEU_DIT_NC,TRIBU,,165.92818615112122,-21.514857403632252,tribus_villages_nc,136,401,Canala village
provinciales_2019,,PN,Province Nord,988,98807,Hienghène,HIENGHENE,0001,541,304,237,302,0,2,Mairie,MAIRIE,0.7,HIENGHENE,Hienghène,LIEU_DIT_NC,VILLE,,164.94565765433836,-20.688834938182335,tribus_villages_nc,155,701,Hienghéne littoral
provinciales_2019,,PN,Province Nord,988,98807,Hienghène,HIENGHENE,0002,216,157,59,157,0,0,Tendo,TENDO,1,Tendo,Hienghène,LIEU_DIT_NC,TRIBU,Tnèdo,164.8162801367713,-20.71273259336387,tribus_villages_nc,156,704,Tiendanite Ouayaguette
provinciales_2019,,PN,Province Nord,988,98807,Hienghène,HIENGHENE,0003,112,67,45,66,0,1,Bas-Coulna,BAS COULNA,1,Bas-Coulna,Hienghène,LIEU_DIT_NC,TRIBU,Wan Déuc,164.78261362354763,-20.687835024386533,tribus_villages_nc,156,704,Tiendanite Ouayaguette
provinciales_2019,,PN,Province Nord,988,98807,Hienghène,HIENGHENE,0004,102,59,43,59,0,0,Haut-Coulna,HAUT COULNA,1,Haut-Coulna,Hienghène,LIEU_DIT_NC,TRIBU,Paana,164.7358564404401,-20.63480876362534,tribus_villages_nc,156,704,Tiendanite Ouayaguette
provinciales_2019,,PN,Province Nord,988,98807,Hienghène,HIENGHENE,0005,181,109,72,108,0,1,Ouayaguette,OUAYAGUETTE,1,Ouayaguette,Hienghène,LIEU_DIT_NC,TRIBU,Wébia,164.6835205195477,-20.659220188803257,tribus_villages_nc,156,704,Tiendanite Ouayaguette
provinciales_2019,,PN,Province Nord,988,98807,Hienghène,HIENGHENE,0006,212,138,74,136,1,1,Ouaième,OUAIEME,1,Ouaïème,Hienghène,LIEU_DIT_NC,TRIBU,Wâyém,164.84911233352278,-20.61488125992091,tribus_villages_nc,155,701,Hienghéne littoral
