commune_norm,election,tour,province_code,province,type_resultat,option,nuance,commune,voix,exprimes,inscrits,pct_exprimes,pct_inscrits,rang
BOULOUPARI,provinciales_2019,,PS,Province Sud,liste,PS_liste_02,,Boulouparis,92,1794,2659,5.13,3.46,4
BOULOUPARI,provinciales_2019,,PS,Province Sud,liste,PS_liste_08,,Boulouparis,54,1794,2659,3.01,2.03,5
BOULOUPARI,referendum_2018,,,,choix,non,,BOULOUPARIS,1657,2376,2645,69.74,62.65,1
BOULOUPARI,referendum_2018,,,,choix,oui,,BOULOUPARIS,719,2376,2645,30.26,27.18,2
BOULOUPARI,referendum_2020,,,Province Sud,choix,non,,Boulouparis,1790,2587,2819,69.19,63.5,1
BOULOUPARI,referendum_2020,,,Province Sud,choix,oui,,Boulouparis,797,2587,2819,30.81,28.27,2
BOULOUPARI,referendum_2021,,,Province Sud,choix,non,,Boulouparis,1711,1750,2893,97.77,59.14,1
BOULOUPARI,referendum_2021,,,Province Sud,choix,oui,,Boulouparis,39,1750,2893,2.23,1.35,2
BOURAIL,legislatives_2022,1,,,candidat,Nicolas METZDORF,ENS,Bourail,788,1748,4667,45.08,16.88,1
BOURAIL,legislatives_2022,1,,,candidat,Thierry SANTA,LR,Bourail,534,1748,4667,30.55,11.44,2
BOURAIL,legislatives_2022,1,,,candidat,Gérard REIGNIER,REG,Bourail,198,1748,4667,11.33,4.24,3
BOURAIL,legislatives_2022,1,,,candidat,Alain DESCOMBELS,RN,Bourail,92,1748,4667,5.26,1.97,4
BOURAIL,legislatives_2022,1,,,candidat,Michèle HOMBOE,DVC,Bourail,51,1748,4667,2.92,1.09,5
BOURAIL,legislatives_2022,2,,,candidat,Nicolas METZDORF,ENS,Bourail,1845,2426,4666,76.05,39.54,1
BOURAIL,legislatives_2022,2,,,candidat,Gérard REIGNIER,REG,Bourail,581,2426,4666,23.95,12.45,2
BOURAIL,legislatives_2024,1,,,candidat,Alcide PONGA,DVD,Bourail,1680,3183,4752,52.78,35.35,1
BOURAIL,legislatives_2024,1,,,candidat,Emmanuel TJIBAOU,REG,Bourail,914,3183,4752,28.72,19.23,2
BOURAIL,legislatives_2024,1,,,candidat,Milakulo TUKUMULI,DVG,Bourail,283,3183,4752,8.89,5.96,3
BOURAIL,legislatives_2024,1,,,candidat,Gérard POADJA,HOR,Bourail,206,3183,4752,6.47,4.34,4
BOURAIL,legislatives_2024,1,,,candidat,Ronald FRERE,REG,Bourail,54,3183,4752,1.7,1.14,5
