election,tour,commune_norm,commune,bloc,camp_institutionnel,nb_bureaux,nb_bureaux_geolocalises,inscrits,votants,abstentions,exprimes,voix_bloc,options,pct_exprimes,pct_inscrits
legislatives_2022,2,OUEGOA,Ouégoa,independantiste,independantiste,4,4,2224,1000,1224,992,617,Union caledonienne,62.2,27.74
legislatives_2022,2,OUEGOA,Ouégoa,loyaliste,anti_independantiste,4,4,2224,1000,1224,992,375,Generations NC,37.8,16.86
legislatives_2022,2,OUVEA,Ouvéa,centriste,anti_independantiste,7,7,4406,1429,2977,1417,84,Caledonie ensemble,5.93,1.91
legislatives_2022,2,OUVEA,Ouvéa,independantiste,independantiste,7,7,4406,1429,2977,1417,1333,Palika,94.07,30.25
legislatives_2022,2,PAITA,Païta,independantiste,independantiste,19,19,15915,7194,8721,7012,1523,Union caledonienne,21.72,9.57
legislatives_2022,2,PAITA,Païta,loyaliste,anti_independantiste,19,19,15915,7194,8721,7012,5489,Generations NC,78.28,34.49
legislatives_2022,2,POINDIMIE,Poindimié,independantiste,independantiste,7,7,4373,2247,2126,2214,1834,Union caledonienne,82.84,41.94
legislatives_2022,2,POINDIMIE,Poindimié,loyaliste,anti_independantiste,7,7,4373,2247,2126,2214,380,Generations NC,17.16,8.69
legislatives_2022,2,PONERIHOUEN,Ponérihouen,independantiste,independantiste,7,7,2689,1649,1040,1634,1509,Union caledonienne,92.35,56.12
legislatives_2022,2,PONERIHOUEN,Ponérihouen,loyaliste,anti_independantiste,7,7,2689,1649,1040,1634,125,Generations NC,7.65,4.65
legislatives_2022,2,POUEBO,Pouébo,independantiste,independantiste,5,5,2405,1074,1331,1071,1051,Union caledonienne,98.13,43.7
legislatives_2022,2,POUEBO,Pouébo,loyaliste,anti_independantiste,5,5,2405,1074,1331,1071,20,Generations NC,1.87,0.83
legislatives_2022,2,POUEMBOUT,Pouembout,independantiste,independantiste,3,3,1821,954,867,933,371,Union caledonienne,39.76,20.37
legislatives_2022,2,POUEMBOUT,Pouembout,loyaliste,anti_independantiste,3,3,1821,954,867,933,562,Generations NC,60.24,30.86
legislatives_2022,2,POUM,Poum,independantiste,independantiste,3,3,1492,706,786,704,610,Union caledonienne,86.65,40.88
legislatives_2022,2,POUM,Poum,loyaliste,anti_independantiste,3,3,1492,706,786,704,94,Generations NC,13.35,6.3
legislatives_2022,2,POYA,Poya,independantiste,independantiste,6,6,2547,1505,1042,1478,899,Union caledonienne,60.83,35.3
legislatives_2022,2,POYA,Poya,loyaliste,anti_independantiste,6,6,2547,1505,1042,1478,579,Generations NC,39.17,22.73
legislatives_2022,2,SARRAMEA,Sarraméa,independantiste,independantiste,1,1,528,270,258,265,213,Union caledonienne,80.38,40.34
legislatives_2022,2,SARRAMEA,Sarraméa,loyaliste,anti_independantiste,1,1,528,270,258,265,52,Generations NC,19.62,9.85
legislatives_2022,2,THIO,Thio,independantiste,independantiste,4,4,2231,974,1257,966,857,Union caledonienne,88.72,38.41
legislatives_2022,2,THIO,Thio,loyaliste,anti_independantiste,4,4,2231,974,1257,966,109,Generations NC,11.28,4.89
legislatives_2022,2,TOUHO,Touho,independantiste,independantiste,4,4,2008,908,1100,892,763,Union caledonienne,85.54,38
legislatives_2022,2,TOUHO,Touho,loyaliste,anti_independantiste,4,4,2008,908,1100,892,129,Generations NC,14.46,6.42
legislatives_2022,2,VOH,Voh,independantiste,independantiste,7,7,2455,1304,1151,1290,930,Union caledonienne,72.09,37.88
legislatives_2022,2,VOH,Voh,loyaliste,anti_independantiste,7,7,2455,1304,1151,1290,360,Generations NC,27.91,14.66
legislatives_2022,2,YATE,Yaté,independantiste,independantiste,4,4,1797,973,824,967,920,Union caledonienne,95.14,51.2
legislatives_2022,2,YATE,Yaté,loyaliste,anti_independantiste,4,4,1797,973,824,967,47,Generations NC,4.86,2.62
legislatives_2024,1,BELEP,Belep,centriste,anti_independantiste,1,1,933,538,395,535,6,Caledonie ensemble | L'Eveil oceanien,1.12,0.64
legislatives_2024,1,BELEP,Belep,independantiste,independantiste,1,1,933,538,395,535,529,Mouvement neo-independantiste et souverainiste | Souverainete caledonienne | Union caledonienne,98.88,56.7
legislatives_2024,1,BELEP,Belep,loyaliste,anti_independantiste,1,1,933,538,395,535,0,Rassemblement - LR,0,0
legislatives_2024,1,BOULOUPARI,Bouloupari,centriste,anti_independantiste,4,4,3345,2298,1047,2265,224,Caledonie ensemble | L'Eveil oceanien,9.89,6.7
legislatives_2024,1,BOULOUPARI,Bouloupari,independantiste,independantiste,4,4,3345,2298,1047,2265,700,Mouvement neo-independantiste et souverainiste | Souverainete caledonienne | Union caledonienne,30.91,20.93
legislatives_2024,1,BOULOUPARI,Bouloupari,loyaliste,anti_independantiste,4,4,3345,2298,1047,2265,1341,Rassemblement - LR,59.21,40.09
legislatives_2024,1,BOURAIL,Bourail,centriste,anti_independantiste,5,5,4752,3252,1500,3183,489,Caledonie ensemble | L'Eveil oceanien,15.36,10.29
legislatives_2024,1,BOURAIL,Bourail,independantiste,independantiste,5,5,4752,3252,1500,3183,1014,Mouvement neo-independantiste et souverainiste | Souverainete caledonienne | Union caledonienne,31.86,21.34
legislatives_2024,1,BOURAIL,Bourail,loyaliste,anti_independantiste,5,5,4752,3252,1500,3183,1680,Rassemblement - LR,52.78,35.35
